m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
18,1,908,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 14, 15, 16, 18, 22, 23, 24, 26]",22.669000000000004,22.669,"[1, 163, 388, 723]","[1, 163, 388, 723]",233.2973210811615,13.715894222259521
18,2,884,"[0, 1, 3, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 21, 22, 24, 25, 26]",37.128,37.128,"[157, 375, 378, 776, 858]","[157, 375, 378, 776, 858]",200.29807114601135,128.02578282356262
18,3,945,"[1, 2, 3, 4, 5, 8, 10, 12, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26]",44.97,44.97,"[29, 312, 319, 404, 755]","[29, 312, 319, 404, 755]",329.4231307506561,255.69160199165344
18,4,891,"[0, 2, 3, 4, 6, 7, 8, 10, 12, 15, 16, 17, 18, 19, 21, 22, 24, 26]",18.583,18.583,"[20, 57, 473, 702]","[20, 57, 473, 702]",256.36209893226624,24.39966607093811
18,5,920,"[0, 1, 2, 6, 7, 8, 9, 10, 13, 14, 15, 17, 20, 21, 22, 23, 25, 26]",30.613,30.613,"[166, 301, 392, 503, 788]","[166, 301, 392, 503, 788]",325.7443995475769,19.457542419433594
18,6,854,"[0, 1, 2, 4, 5, 6, 9, 11, 13, 14, 15, 16, 17, 20, 21, 22, 25, 26]",43.102,43.102000000000004,"[15, 19, 361, 607, 678]","[15, 19, 361, 607, 678]",234.12883472442627,25.97348713874817
18,7,934,"[1, 3, 4, 5, 8, 10, 11, 12, 14, 15, 18, 19, 20, 21, 22, 24, 25, 26]",40.039,40.038999999999994,"[28, 277, 314, 400, 629]","[28, 277, 314, 400, 629]",379.17862486839294,62.37819004058838
18,8,897,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 15, 19, 22, 23, 24, 26]",33.26599999999999,33.266,"[168, 291, 371, 374, 710]","[168, 291, 371, 374, 710]",294.0507526397705,354.1109802722931
18,9,1003,"[0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 22, 23, 24, 25]",20.616000000000003,20.616,"[425, 631, 819, 879]","[425, 631, 819, 879]",448.66233563423157,123.87669634819031
18,10,928,"[0, 1, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 23, 25]",29.699,29.698999999999998,"[1, 57, 89, 393, 577]","[1, 57, 89, 393, 577]",343.458713054657,53.942344188690186
