,m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
0,4,41,458,"[6, 10, 19, 26]",0.936,0.936,"[78, 364]","[78, 364]",12.364909172058105,1.7311301231384277
1,4,42,226,"[7, 17, 22, 25]",1.958,1.958,"[23, 43]","[23, 43]",1.0139987468719482,0.7491073608398438
2,4,43,377,"[13, 15, 18, 19]",0.365,0.365,"[58, 73]","[58, 73]",7.16599440574646,1.3880150318145752
3,4,44,313,"[12, 19, 21, 26]",5.937,5.937,"[25, 112, 244]","[25, 112, 244]",2.321002960205078,1.847628116607666
4,4,45,470,"[6, 9, 21, 26]",1.974,1.974,"[27, 161]","[27, 161]",14.11793303489685,1.783048391342163
5,4,46,393,"[0, 7, 20, 22]",0.953,0.953,"[116, 319]","[116, 319]",9.222001314163208,1.4927687644958496
6,4,47,681,"[5, 13, 19, 20]",0.0,0.0,[24],[24],73.13154411315918,6.924399375915527
7,4,48,721,"[5, 7, 14, 21]",0.0,0.0,[626],[626],32.25014138221741,6.562713146209717
8,4,49,304,"[1, 6, 24, 26]",2.976,2.976,"[52, 134]","[52, 134]",4.209864616394043,1.4019138813018799
9,4,50,342,"[4, 7, 18, 20]",0.983,0.983,"[193, 325]","[193, 325]",1.7352216243743896,2.896336078643799
