m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
20,1,914,"[0, 1, 2, 4, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 22, 23, 24, 26]",33.266000000000005,33.266000000000005,"[174, 307, 386, 389, 727]","[174, 307, 386, 389, 727]",346.23245668411255,444.73208498954773
20,2,962,"[0, 1, 3, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 21, 22, 24, 25, 26]",37.292,37.292,"[27, 173, 409, 845, 933]","[27, 173, 409, 845, 933]",579.6998755931854,213.1992359161377
20,3,950,"[1, 2, 3, 4, 5, 8, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26]",44.97,44.96999999999999,"[30, 314, 321, 406, 758]","[30, 314, 321, 406, 758]",505.05503487586975,329.78559136390686
20,4,985,"[0, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 24, 26]",22.616,22.616,"[22, 516, 775, 883]","[22, 516, 775, 883]",738.210432767868,120.23091530799866
20,5,1002,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 13, 14, 15, 17, 18, 20, 21, 22, 23, 25, 26]",30.613,30.613,"[183, 330, 424, 549, 862]","[183, 330, 424, 549, 862]",677.9736561775208,33.703113317489624
20,6,899,"[0, 1, 2, 4, 5, 6, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26]",43.102000000000004,43.102,"[17, 22, 383, 644, 718]","[17, 22, 383, 644, 718]",438.800274848938,19.112232208251953
20,7,950,"[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 14, 15, 18, 19, 20, 21, 22, 24, 25, 26]",40.039,40.038999999999994,"[28, 278, 315, 402, 636]","[28, 278, 315, 402, 636]",316.8839955329895,63.647197246551514
20,8,924,"[0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 22, 23, 24, 26]",33.26599999999999,33.266000000000005,"[176, 306, 386, 389, 733]","[176, 306, 386, 389, 733]",290.50364327430725,258.7780673503876
20,9,1003,"[0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",37.182,37.181999999999995,"[30, 63, 337, 425, 802]","[30, 63, 337, 425, 802]",347.90376257896423,12.8656587600708
20,10,945,"[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 23, 25]",29.698999999999998,29.698999999999998,"[1, 59, 91, 403, 590]","[1, 59, 91, 403, 590]",288.7657542228699,16.999671459197998
