m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
6,1,420,"[0, 1, 4, 10, 23, 24]",8.886,8.886,"[83, 190, 414]","[83, 190, 414]",8.287945985794067,3.438035726547241
6,2,418,"[1, 6, 14, 16, 21, 22]",10.892,10.892,"[81, 181, 366]","[81, 181, 366]",7.999809741973877,1.9925165176391602
6,3,386,"[2, 10, 12, 15, 17, 23]",0.879,0.879,"[69, 298]","[69, 298]",6.841524362564087,1.6740775108337402
6,4,522,"[3, 6, 17, 18, 24, 26]",4.92,4.92,"[96, 409]","[96, 409]",27.66511559486389,2.346099853515625
6,5,701,"[0, 8, 9, 20, 25, 26]",1.967,1.967,"[60, 222]","[60, 222]",14.147216320037842,3.926347017288208
6,6,425,"[6, 16, 17, 20, 22, 25]",3.957,3.957,"[227, 337]","[227, 337]",14.530794858932495,2.0807876586914062
6,7,675,"[4, 5, 10, 11, 12, 25]",0.879,0.879,"[237, 280]","[237, 280]",85.2430260181427,3.2010550498962402
6,8,511,"[1, 6, 15, 19, 22, 23]",9.721,9.721,"[95, 215, 350]","[95, 215, 350]",25.485674619674683,23.20939064025879
6,9,471,"[0, 1, 9, 12, 17, 25]",8.841000000000001,8.841000000000001,"[197, 199, 442]","[197, 199, 442]",20.476441383361816,2.1711928844451904
6,10,479,"[0, 7, 11, 20, 21, 23]",3.963,3.963,"[62, 329]","[62, 329]",31.292818069458008,2.9905173778533936
