,m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
0,10,1,696,"[0, 1, 4, 9, 10, 14, 16, 18, 23, 24]",10.674,10.674,"[303, 594, 689]","[303, 594, 689]",71.59795784950256,5.298321723937988
1,10,2,572,"[0, 1, 3, 6, 10, 14, 16, 21, 22, 26]",18.703999999999997,18.704,"[97, 183, 251, 487]","[97, 183, 251, 487]",31.815985202789307,4.7883079051971436
2,10,3,768,"[2, 3, 5, 10, 12, 15, 16, 17, 21, 23]",8.509,8.509,"[127, 553, 624]","[127, 553, 624]",163.11687684059143,12.689691543579102
3,10,4,802,"[3, 6, 8, 12, 17, 18, 19, 21, 24, 26]",13.733,13.733,"[53, 273, 630, 645]","[53, 273, 630, 645]",191.05768728256226,21.486475944519043
4,10,5,748,"[0, 1, 2, 6, 8, 9, 15, 20, 25, 26]",13.793000000000001,13.793,"[12, 66, 312]","[12, 66, 312]",144.37427926063538,6.3035194873809814
5,10,6,747,"[4, 5, 6, 13, 16, 17, 20, 22, 25, 26]",12.76,12.760000000000002,"[110, 214, 244, 315]","[110, 214, 244, 315]",157.93545937538147,21.6031334400177
6,10,7,864,"[4, 5, 8, 10, 11, 12, 14, 20, 24, 25]",2.965,2.965,"[176, 362, 724]","[176, 362, 724]",210.15966629981995,6.68313193321228
7,10,8,729,"[1, 6, 8, 10, 13, 15, 19, 22, 23, 24]",9.721,9.721,"[138, 309, 504]","[138, 309, 504]",118.2920036315918,6.6152284145355225
8,10,9,584,"[0, 1, 9, 11, 12, 17, 18, 20, 22, 25]",13.705,13.705,"[20, 98, 249]","[20, 98, 249]",48.935529947280884,3.135223627090454
9,10,10,572,"[0, 4, 7, 10, 11, 15, 16, 20, 21, 23]",10.748000000000001,10.748000000000001,"[1, 42, 61, 214]","[1, 42, 61, 214]",71.14548802375793,9.204724311828613
10,10,11,761,"[0, 4, 6, 7, 8, 10, 12, 13, 20, 26]",5.896,5.896,"[135, 497, 648]","[135, 497, 648]",126.17609596252441,8.612301349639893
11,10,12,792,"[1, 3, 5, 7, 15, 16, 20, 21, 24, 26]",17.697,17.697,"[78, 140, 256, 339]","[78, 140, 256, 339]",32310.098594665527,33.003034830093384
12,10,13,779,"[0, 1, 4, 5, 6, 13, 16, 18, 21, 25]",14.686,14.686,"[18, 332, 553]","[18, 332, 553]",102.6755702495575,5.0485382080078125
13,10,14,818,"[2, 4, 5, 7, 16, 17, 19, 20, 25, 26]",7.763,7.763,"[19, 119, 264]","[19, 119, 264]",134.12533688545227,5.863612651824951
14,10,15,581,"[0, 3, 4, 13, 14, 15, 16, 17, 18, 24]",4.694,4.694,"[18, 169, 459]","[18, 169, 459]",43.49497437477112,3.9834024906158447
15,10,16,635,"[0, 2, 3, 11, 13, 14, 15, 18, 19, 20]",3.331,3.331,"[95, 619]","[95, 619]",60.27820944786072,4.05961275100708
16,10,17,741,"[0, 1, 3, 8, 14, 15, 19, 20, 22, 25]",10.827,10.827,"[305, 402, 716]","[305, 402, 716]",101.91368246078491,5.041606187820435
17,10,18,614,"[0, 2, 4, 7, 12, 14, 15, 18, 20, 23]",4.931,4.931,"[50, 70, 394]","[50, 70, 394]",59.1354546546936,3.9824295043945312
18,10,19,756,"[0, 3, 6, 7, 12, 14, 17, 19, 23, 25]",5.611999999999999,5.612,"[126, 617, 623, 744]","[126, 617, 623, 744]",126.2604751586914,10.872925281524658
19,10,20,788,"[1, 2, 6, 7, 8, 10, 15, 17, 19, 22]",9.826,9.826,"[148, 332, 677]","[148, 332, 677]",144.15385031700134,8.445470571517944
20,10,21,449,"[11, 12, 15, 16, 17, 18, 20, 21, 22, 25]",10.682,10.682,"[19, 84, 128]","[19, 84, 128]",23.392672538757324,4.629912853240967
21,10,22,895,"[2, 5, 6, 8, 11, 13, 16, 18, 24, 25]",1.834,1.834,"[486, 492]","[486, 492]",245.67437267303467,6.89824366569519
22,10,23,769,"[8, 10, 11, 12, 13, 14, 16, 18, 20, 24]",1.875,1.875,"[26, 88]","[26, 88]",135.3989896774292,7.127172946929932
23,10,24,759,"[0, 1, 2, 6, 9, 11, 18, 19, 23, 24]",9.721,9.721,"[143, 201, 321]","[143, 201, 321]",130.93327140808105,59.23816275596619
24,10,25,775,"[4, 5, 15, 18, 19, 20, 21, 23, 25, 26]",17.253000000000004,17.253,"[16, 213, 335, 636]","[16, 213, 335, 636]",165.0095558166504,10.487412452697754
