m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
8,1,640,"[0, 1, 4, 9, 10, 18, 23, 24]",8.886,8.886,"[121, 276, 633]","[121, 276, 633]",57.97732663154602,4.21257758140564
8,2,487,"[0, 1, 6, 14, 16, 21, 22, 26]",15.815,15.815,"[81, 90, 212, 424]","[81, 90, 212, 424]",14.697501420974731,2.676896095275879
8,3,738,"[2, 5, 10, 12, 15, 16, 17, 23]",2.749,2.749,"[120, 601, 721]","[120, 601, 721]",89.19343137741089,5.511330604553223
8,4,783,"[3, 6, 8, 12, 17, 18, 24, 26]",6.865,6.865,"[118, 266, 629]","[118, 266, 629]",207.85789489746094,9.121879577636719
8,5,715,"[0, 2, 8, 9, 15, 20, 25, 26]",2.923,2.923,"[12, 63]","[12, 63]",161.58997130393982,7.409574270248413
8,6,743,"[4, 5, 6, 16, 17, 20, 22, 25]",4.76,4.76,"[17, 533, 598]","[17, 533, 598]",140.45695662498474,12.345431804656982
8,7,735,"[4, 5, 10, 11, 12, 14, 24, 25]",1.9,1.9,"[96, 312]","[96, 312]",96.2466459274292,9.466248512268066
8,8,546,"[1, 6, 13, 15, 19, 22, 23, 24]",9.721,9.721,"[101, 231, 373]","[101, 231, 373]",29.472665786743164,4.308705568313599
8,9,520,"[0, 1, 9, 11, 12, 17, 22, 25]",10.833,10.833,"[215, 217, 398]","[215, 217, 398]",25.581600427627563,3.3616535663604736
8,10,556,"[0, 7, 10, 11, 16, 20, 21, 23]",4.922,4.922000000000001,"[42, 61, 350]","[42, 61, 350]",48.60641551017761,4.959789514541626
