,m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
0,12,1,858,"[0, 1, 4, 5, 9, 10, 11, 14, 16, 18, 23, 24]",11.738999999999999,11.738999999999999,"[23, 310, 367]","[23, 310, 367]",413.2115046977997,29.674561500549316
1,12,2,605,"[0, 1, 3, 6, 10, 12, 14, 16, 21, 22, 25, 26]",33.388999999999996,33.388999999999996,"[21, 102, 267, 336, 528]","[21, 102, 267, 336, 528]",110.93184995651245,124.75220704078674
2,12,3,897,"[2, 3, 5, 8, 10, 12, 15, 16, 17, 20, 21, 23]",8.785,8.785,"[68, 802, 868]","[68, 802, 868]",398.69522643089294,27.833244562149048
3,12,4,862,"[3, 6, 7, 8, 12, 17, 18, 19, 21, 22, 24, 26]",13.733,13.733,"[56, 290, 678, 693]","[56, 290, 678, 693]",416.34362387657166,46.620171546936035
4,12,5,773,"[0, 1, 2, 6, 8, 9, 15, 17, 20, 21, 25, 26]",26.32,26.32,"[12, 125, 323, 547]","[12, 125, 323, 547]",280.90370416641235,27.07198715209961
5,12,6,760,"[0, 4, 5, 6, 13, 15, 16, 17, 20, 22, 25, 26]",14.486,14.486,"[0, 13, 344, 610]","[0, 13, 344, 610]",225.96773314476013,56.61600637435913
6,12,7,865,"[4, 5, 8, 10, 11, 12, 14, 15, 20, 24, 25, 26]",8.585,8.585,"[1, 18, 143, 388]","[1, 18, 143, 388]",339.74000120162964,29.72304344177246
7,12,8,783,"[1, 6, 8, 10, 11, 13, 14, 15, 19, 22, 23, 24]",10.857,10.857,"[147, 329, 627]","[147, 329, 627]",259.667484998703,7.582418203353882
8,12,9,866,"[0, 1, 7, 8, 9, 11, 12, 17, 18, 20, 22, 25]",13.705,13.705,"[29, 146, 366]","[29, 146, 366]",376.0241265296936,22.087358713150024
9,12,10,614,"[0, 4, 7, 10, 11, 12, 15, 16, 18, 20, 21, 23]",10.892,10.892,"[1, 80, 425]","[1, 80, 425]",143.76874423027039,14.013578653335571
