m,seed,qno,req_skills,obj_value_QP,obj_value_BB,team_QP,team_BB,QP_time,BB_time
14,1,867,"[0, 1, 4, 5, 9, 10, 11, 12, 14, 15, 16, 18, 23, 24]",15.161999999999999,15.161999999999999,"[118, 161, 372, 859]","[118, 161, 372, 859]",175.97427320480347,36.01189923286438
14,2,803,"[0, 1, 3, 6, 8, 10, 12, 14, 16, 19, 21, 22, 25, 26]",35.355000000000004,35.355000000000004,"[140, 340, 342, 350, 706]","[140, 340, 342, 350, 706]",128.4560990333557,136.61650824546814
14,3,901,"[2, 3, 4, 5, 8, 10, 12, 15, 16, 17, 20, 21, 23, 25]",10.843,10.843,"[0, 59, 92, 562]","[0, 59, 92, 562]",226.3848705291748,10.829105615615845
14,4,875,"[2, 3, 4, 6, 7, 8, 12, 17, 18, 19, 21, 22, 24, 26]",14.76,14.760000000000002,"[57, 293, 457, 698]","[57, 293, 457, 698]",284.8981337547302,13.74956202507019
14,5,780,"[0, 1, 2, 6, 8, 9, 10, 13, 15, 17, 20, 21, 25, 26]",26.605,26.605,"[134, 136, 247, 326, 421]","[134, 136, 247, 326, 421]",149.11649870872498,6.4612438678741455
14,6,783,"[0, 4, 5, 6, 13, 14, 15, 16, 17, 20, 21, 22, 25, 26]",21.386,21.386000000000003,"[13, 17, 558, 629]","[13, 17, 558, 629]",183.15708565711975,8.406098365783691
14,7,895,"[3, 4, 5, 8, 10, 11, 12, 14, 15, 20, 21, 24, 25, 26]",14.732000000000001,14.732,"[1, 87, 259, 294]","[1, 87, 259, 294]",271.6018817424774,13.341550588607788
14,8,855,"[1, 2, 3, 6, 8, 10, 11, 13, 14, 15, 19, 22, 23, 24]",18.625999999999998,18.625999999999998,"[239, 356, 545, 677]","[239, 356, 545, 677]",256.16361904144287,297.02813720703125
14,9,892,"[0, 1, 3, 7, 8, 9, 10, 11, 12, 17, 18, 20, 22, 25]",13.705,13.705,"[31, 153, 379]","[31, 153, 379]",286.241854429245,10.708078384399414
14,10,729,"[0, 4, 7, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 23]",12.795000000000002,12.795000000000002,"[1, 47, 72, 569]","[1, 47, 72, 569]",2634.1072821617126,8.283742666244507
